Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_104_1x23mm",35.030400,31.245800,-90.000000,top
"BZ1","Buzzer DIP","Buzzer_12x9.5RM7.6",112.297200,71.154600,-90.000000,top
"C1","220uF","CP_Radial_D8.0mm_P5.00mm",96.803200,12.703800,-90.000000,top
"C2","100nF","C_Disc_D4.7mm_W2.5mm_P5.00mm",90.732600,13.582000,90.000000,top
"C3","100nF","C_Disc_D4.7mm_W2.5mm_P5.00mm",101.745400,21.009600,0.000000,top
"C4","100nF","C_Disc_D4.7mm_W2.5mm_P5.00mm",38.992800,44.413800,-90.000000,top
"C5","100nF","C_Disc_D4.7mm_W2.5mm_P5.00mm",43.205000,44.463800,-90.000000,top
"C6","100nF","C_Disc_D4.7mm_W2.5mm_P5.00mm",110.533800,21.314400,0.000000,top
"C7","220uF","CP_Radial_D8.0mm_P5.00mm",117.555000,33.648451,-90.000000,top
"C8","220uF","CP_Radial_D8.0mm_P5.00mm",49.787800,47.730400,90.000000,top
"C9","TH_2200uF","C_Radial_D12.5mm_H25.0mm_P5.00mm",102.928400,30.433000,0.000000,top
"C10","100nF","C_Disc_D4.7mm_W2.5mm_P5.00mm",58.446800,20.085600,-90.000000,top
"C11","100nF","C_Disc_D4.7mm_W2.5mm_P5.00mm",111.397400,84.611200,0.000000,top
"C12","100nF","C_Disc_D4.7mm_W2.5mm_P5.00mm",52.058800,87.049600,-90.000000,top
"C13","100nF","C_Disc_D4.7mm_W2.5mm_P5.00mm",37.479200,86.857200,-90.000000,top
"C14","100nF","C_Disc_D4.7mm_W2.5mm_P5.00mm",37.377600,79.542000,-90.000000,top
"C15","100nF","C_Disc_D4.7mm_W2.5mm_P5.00mm",33.415200,81.755600,90.000000,top
"C16","100nF","C_Disc_D4.7mm_W2.5mm_P5.00mm",33.313600,74.349600,90.000000,top
"C17","1uF","C_Disc_D4.7mm_W2.5mm_P5.00mm",113.211600,44.515400,-90.000000,top
"D1","LED","LED_D4.0mm",13.948400,21.924000,180.000000,top
"J1","4V4","PinHeader_1x02_P2.54mm_Vertical",107.039400,8.157200,90.000000,top
"J2","3v3_in","PinHeader_1x02_P2.54mm_Vertical",15.447000,31.169600,-90.000000,top
"J3","Barrel_Jack_Switch","BarrelJack_Wuerth_6941xx301002",18.418800,86.871800,-90.000000,top
"J4","3v3_out","PinHeader_1x02_P2.54mm_Vertical",52.988200,38.987800,180.000000,top
"J5","4V4","PinHeader_1x02_P2.54mm_Vertical",118.367800,14.354800,180.000000,top
"J6","rs232 port","PinHeader_1x03_P2.54mm_Vertical",61.929000,53.724800,0.000000,top
"J7","max232 port","PinHeader_1x03_P2.54mm_Vertical",54.903600,72.586600,180.000000,top
"J8","rs232 port","PinHeader_1x03_P2.54mm_Vertical",47.755800,61.598800,-90.000000,top
"Q1","P2N2222A","TO-92",109.583800,54.406000,90.000000,top
"R1","330","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",17.580600,26.826200,180.000000,top
"R2","43k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",112.602000,16.285200,180.000000,top
"R3","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",102.645200,13.110200,0.000000,top
"R4","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",109.925000,88.329600,180.000000,top
"R5","2.2K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",53.620800,9.570000,90.000000,top
"R6","2.2K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",50.471200,9.570000,90.000000,top
"R7","1K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",101.502200,64.108800,-90.000000,top
"R8","100K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",104.651800,53.898000,90.000000,top
"R9","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",82.814000,50.123800,-90.000000,top
"R10","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",79.664400,50.123800,-90.000000,top
"R11","1K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",76.565600,50.123800,-90.000000,top
"R12","1K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",111.687600,48.365400,180.000000,top
"SW1","SW_Push DIP","SW_Tactile_Straight_KSA0Axx1LFTR",101.578400,44.301400,0.000000,top
"U3","YAAJ_DCDC_StepDown_LM2596","YAAJ_DCDC_StepDown_LM2596",23.092400,76.457800,-90.000000,top
"U4","ESP32-DEVKIT-V1","MODULE_ESP32_DEVKIT_V1",80.623400,66.272400,0.000000,top
"U5","W25Q64 DIP","DIP-8_W7.62mm",101.197400,84.509600,0.000000,top
"U6","DS1307 DIP","DIP-8_W7.62mm",58.359600,30.787200,-90.000000,top
"U7","MAX232","DIP-16_W7.62mm",41.340000,86.694000,0.000000,top
"U8","SIM800L DIP","SIM800L-CORE",83.389600,30.971400,-90.000000,top
"Y1","32.786 kHZ","Crystal_Round_D1.0mm_Vertical",49.838600,33.328600,90.000000,top
